order_id,order_item_id,product_id,seller_id,price,freight_value
21715b0b-c201-44c8-9840-85e079bfae2e,1,bf0c5d67-43de-4743-8e74-796636ccdfb5,60a591f4-133e-433c-949b-1c484805ab83,99.88,41.19
4a7f7002-3efc-42f3-82e3-93e9fca7b49d,1,5587efea-47af-408e-9a43-7c1963520e2f,5105899a-b809-4d35-b235-acc5db157765,235.03,23.35
4a7f7002-3efc-42f3-82e3-93e9fca7b49d,2,dd4c01b8-b2c7-4474-be51-aa9abe8e25cc,f645beb2-4b74-4c44-9a3e-5b3de459bdb3,80.0,36.04
4a7f7002-3efc-42f3-82e3-93e9fca7b49d,3,8190fd3b-e73c-47af-9fee-552911522849,1fed7d98-cd7f-4420-aabc-3b7cc8a4d536,37.64,38.88
3eae745f-7088-45ff-bcee-a20e450b5df3,1,4c81359f-fa76-440f-bd5e-3881afa8cb69,c3bb05a9-e2d2-4398-87f3-17535a59fad6,312.57,34.47
3c1de216-1894-4efd-a704-27f24dc2e0cf,1,b148422b-59fa-4e78-aac6-f27daf3553bc,aff71e05-012c-472d-b451-5e7a125847a0,205.93,11.87
3c1de216-1894-4efd-a704-27f24dc2e0cf,2,082cee50-66ea-4709-bd30-cb17b426621e,8193d5e2-7a08-4e24-8b56-79071fe68569,487.14,19.31
3c1de216-1894-4efd-a704-27f24dc2e0cf,3,e8a50b6c-0700-40d7-967b-5b43c9c17bcc,7b8db80b-cb9c-4d80-952c-4defc980964c,54.4,34.74
4c52f6f8-8e0c-44e0-94ca-951b127cbbfb,1,aca04b14-06ef-4518-8069-ae91b98f9081,8193d5e2-7a08-4e24-8b56-79071fe68569,431.37,37.21
4c52f6f8-8e0c-44e0-94ca-951b127cbbfb,2,51afdc50-e683-413c-8eef-c40abcfcd2b1,7b8db80b-cb9c-4d80-952c-4defc980964c,230.74,10.53
4c52f6f8-8e0c-44e0-94ca-951b127cbbfb,3,dedc2b43-aeea-49d8-97bd-db86af8ae457,5f603643-58d8-431a-b049-9868238e4213,471.68,32.53
042cfabe-e2d7-45e5-9980-7dc79eb8b1f9,1,4df86d51-6e08-44f2-bef4-105e01c29ebd,c0268722-7cbe-441b-b7c8-bc15d31f894b,344.8,34.4
042cfabe-e2d7-45e5-9980-7dc79eb8b1f9,2,16cf54f0-c964-4ec9-a5fc-ee68d81cf4b3,8faf076a-fd24-4d09-ab02-b04e76277be5,418.27,16.93
042cfabe-e2d7-45e5-9980-7dc79eb8b1f9,3,25f05b8a-1823-4baa-98f8-0a4faddc74e8,881ee267-a097-4ed7-8894-878071d878c1,201.62,17.29
b5622ce5-50e2-4219-9176-5f3e60aa814b,1,aa10ba70-ba02-4b2a-877e-6229136f07c4,d8022c82-83ce-4370-bd6c-4653c8991bc8,277.89,17.39
b5622ce5-50e2-4219-9176-5f3e60aa814b,2,7833bd20-d948-447f-bfb7-94b4930075cc,f82bb35d-ae5b-474a-841c-e164c4cdd344,485.1,41.01
60b8c307-818a-4163-9a51-2dbf480f98c6,1,6bca5071-ceee-444c-b501-b2c16b5efa34,5fcd97c5-aecd-4b0d-8737-c594c85219c5,366.36,23.06
60b8c307-818a-4163-9a51-2dbf480f98c6,2,79a70327-cc39-4efb-b378-885558d5f764,3537d5aa-c95a-48da-9b9a-1b8bb5249160,289.52,30.83
676340b9-270c-45b6-9ddb-edee1b53a081,1,d08cf057-15d4-4c53-a56b-bcb3ec1faa04,348c5e42-535e-4441-a34b-fbb67a4f7c1f,142.96,43.15
