customer_id,customer_unique_id,customer_city,customer_state
fe228e13-5e5f-400d-9d55-cd20a90f2910,35885,Port Stevenburgh,RJ
45063fe8-abbe-4db9-b734-8b25beed2af4,40552,Gordonhaven,SP
9dd1f5b8-fdbd-4240-8527-79124194d6dd,84977,South Kevin,PR
eabc81aa-6eeb-4c60-a5c5-1371ddfa2e9e,19258,New Ian,RS
c88bfefe-a1f5-432a-959a-d48ddb637924,51579,East Laura,RS
b27a7c53-29fe-4fe4-9105-39f0bda4c7a6,98809,Bennetthaven,MG
078edbfe-ff8c-4ca8-bedc-441c741453f5,34200,West Debbieton,RJ
eb8af327-3b61-43af-ba10-7914372de4c1,28276,Jayshire,GO
69a9eac7-5eba-4ed6-8ab4-d44124b20573,67108,New Jamestown,RJ
bf320d9e-c4a5-4859-8f06-ee5b2114a3d8,84617,North Karen,PE
ba6706a0-0999-40b8-838f-8a2460129ba7,68534,Kyleton,BA
bc209c94-86f3-4a20-b4c4-364f10e71d5f,55658,Wesleyland,SP
ea74cc09-b7c7-4152-8ac1-0884781ae290,25532,Melissaville,SP
00309035-d78d-4295-9c76-9bd2d912e0e2,37276,Fryton,RJ
2c92d76c-5460-4507-a4b9-130b23239434,90236,Ortizchester,RS
1a29978e-1a46-4a94-b8e8-032e947dfb4a,69093,Lake Davidview,RS
a0b4ba27-149f-41d7-bf32-64f69cf47cfa,88457,Stacyshire,GO
f207b6cb-8522-4623-a69f-8f539a261350,24661,Brandtport,PE
baf25b77-64f6-432d-b1f5-dfc457b90ecf,21148,Spencerside,SP
44047a6d-687c-4f05-a6ce-b266c884f032,21615,North Michaeltown,GO
0404b21c-118b-439d-b557-0aab0a0bba1f,23452,East Chadburgh,RS
cfbe44d4-b45f-47c2-b1ca-6bf6987fdd2f,34142,Garcialand,GO
423ae343-b47d-4730-bd36-6c7147dece51,63795,Mooreport,BA
14420eb5-c702-4093-96da-46a480eff97a,25750,West Kirktown,RS
2896dc84-cd4b-44ad-9efc-26d91e199aed,96348,Manuelmouth,DF
db8d761a-a07c-40d5-a5f6-ee616a8a04af,14775,Carolborough,PE
e725a676-02bb-46f1-8efa-05ca62430fec,73706,North Patricia,PR
d1ec1441-5363-4a54-838b-4d446710c007,98092,New Kyleburgh,SP
b55fb37b-9a40-4ee4-81e2-b24ff85b84f8,25654,Port Sean,MG
c6bb1838-b601-427d-b64d-445afcf23305,28700,West Jenniferberg,BA
dc6326aa-0030-4036-ba61-e850dbdc5bf1,36159,Jimmymouth,SC
02380bff-2ff2-4c30-887d-e8310e3202dc,33878,East Loristad,PR
9aa4c010-5bfe-4763-80ce-6f31d5ea362c,12883,New Tiffanystad,MG
7c33ff8d-f61f-4398-966b-bb3e92a94d42,93772,North Marytown,RS
c4adcae7-b1ad-4ffb-8ad8-7ec2c6635329,49351,West Monica,SC
11c27a48-66e0-4d6f-839b-4dd4109fe234,46574,East Michaeltown,RJ
d43b01c5-c460-49f5-b1e0-194738852bf9,10325,Pottermouth,RJ
e13351e3-082f-4461-a391-ce8ed77faff9,41011,North Arthurfurt,BA
56ef5cda-3f36-44ee-9b20-4f47edb2d10c,95142,South Jenniferborough,RJ
fa82f286-72f0-4732-9bff-b3ad17d481b9,45287,Lake Thomas,SC
eecdbbbd-7daf-42ec-baff-ba79ba7fac1d,62670,East Diana,SC
b5b3b953-2ddf-463e-818a-3f73156b6a3c,75422,Garciastad,PE
43b120e6-9c85-4675-983b-2ed9e4e98179,88589,Port Amberchester,PR
ce777033-3fff-4067-9442-98f0c68ebd49,39682,Taylorstad,SP
7d2057a0-eefb-4603-9d18-6554e043a2b7,81316,Thomasburgh,DF
a2b150b0-b459-483a-a429-b5ae7e23805f,42264,Lake Peterstad,GO
cc35d9fa-44e9-4e33-be43-a3221fcec320,57586,Port William,RJ
ff8c1803-588e-4827-8953-116c7ef5d585,19236,Austinberg,BA
c8768510-6629-4b7c-b2fd-8ea28f91910b,82271,Davisburgh,RJ
ff1c8e80-773d-4292-8bb4-f18cc74e6ae5,62964,Josephstad,GO
fdc4634f-a52b-479e-babc-8f6f18e04224,73313,Elizabethland,PR
fb485e4f-a76e-4ef3-8921-381d854b26d6,62194,South Ashley,PE
1dd4ef2c-60dd-4268-a3e4-176180106c52,26201,West Ianstad,SC
8ff7de0f-41dc-4d15-8e91-7a93f1ddce71,63629,South Shawn,PE
b5b6554b-00d4-4809-83d9-fbb582bdbe73,63488,Thomasberg,RS
6f4b8705-bceb-46d3-8b3e-fd74db659f51,55128,Johnsonfurt,RJ
5a31c5e3-0838-4fa5-9e57-f67326180040,81247,North Tracyfurt,SP
b253045b-3c22-4b93-94bb-7868c1939a55,41453,Aimeeside,RS
8bd16f03-4d77-4f77-af0e-d0fb9cfc749f,87468,North Mitchellton,PR
f226bb3c-ee7d-4855-95bd-e6527a65069c,90762,Jameshaven,RJ
103037f2-882a-4714-a9f2-ce3ed9e798b8,64563,Jaredport,RS
93cc527e-e503-4177-9ea8-22530d09de02,43519,Timothyfurt,RJ
82575034-f188-4b40-bc05-1f4a2c319a1a,57584,Hilltown,BA
5b33bb8e-8ef4-4b94-85ae-dcc56143b7af,35150,Andrewhaven,PR
d8e73e4d-31df-4afb-8b5a-ed3b67b60c6c,22937,South Suzanne,DF
9ca8c945-58f6-47f8-bd0b-025e38dc7ee5,67048,Port John,SC
d8206fa3-40ed-44ca-b4d1-207e6e91148a,19653,Simmonsfurt,MG
13651ab2-8079-4e04-ace0-56d5e2a0388c,90853,North Brandiport,SC
0c73094d-54e7-4589-b919-9d53b3945fbb,63275,South Stephanieland,SC
007a1237-a9fc-4d85-a46f-11d8820b15d4,18879,West Eric,RS
5342d0ed-9914-452e-8580-7b616ad46f67,91467,Port Dawn,PR
b5d711f8-2179-4404-95f5-42812782da8b,60596,Angelahaven,RJ
69945c45-36ec-4bea-b3c2-316d83f7c92c,10848,North Sharon,PE
de262401-d6fd-47e1-b541-c98c958f5bab,38151,New James,MG
ff4c6c62-a5c0-4ee7-a8ce-605f68c77b23,12422,Dixonport,GO
9219296c-78c2-4bfb-893e-6b846e2bfc67,65581,Newmanfort,RS
86bbfcf2-78e2-47a7-94c6-30bb37d5d528,72938,Brianborough,MG
b241c593-9574-472c-a099-5b13d53fe696,99385,Lake Desireeshire,DF
9f9712d8-f732-4f2a-ace2-e7ac72cb8141,22781,Marissaland,BA
5208d412-8da7-4956-8c87-7ba182490ca4,98766,South Kristen,PR
4fd25035-59c6-4634-9369-6030bf005e15,61125,New Christopher,GO
48a98edd-daf3-4215-a980-e290322ed596,65642,West Angelabury,RS
4396eb05-c589-4b67-afbc-742bd193b87f,34837,Cummingsburgh,SC
575424f3-72cf-4495-ab64-3038898b1fb2,84844,North Deborahstad,SP
abdf8be4-a218-4c8f-bf81-df3b8c83daf3,47349,New Denise,RS
1878a6c4-147d-45cb-ace7-6a3763ceaa45,59254,South Patricia,SP
9b55cc92-555e-4e41-a042-a73257b22792,56793,Murrayville,SC
2fcb8712-bc5b-4a20-889b-976045e57e1f,62604,North Robertchester,BA
05e6785c-4931-4728-b3d1-d1d3f67b1608,44056,Lake Zacharyside,PR
19a348da-39b6-4780-ba0c-04c3ba0ac9a6,47107,Lewisberg,RJ
cbdd3a54-f9f4-44a4-9262-2598081d3204,62768,Nicholaston,RS
03237a4f-f5d0-4725-b91e-d15b4fbbd2fb,46638,North Bethbury,PE
c9b19d42-c33e-48ad-b84f-ef0e635db3c5,19933,Port Andreafurt,SC
e2e4a8c5-e352-415c-b95f-148b5c0a83f2,64564,Alexanderstad,RS
302b9076-60a6-46ff-884a-6451e667f2c7,33692,Fernandezmouth,DF
