order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_customer_date
21715b0b-c201-44c8-9840-85e079bfae2e,a4db90ec-13bd-4ef2-b8ae-47b1cb7e1ff2,delivered,2022-01-26 21:29:01,2022-01-27 02:55:01,2022-02-11 02:55:01
4a7f7002-3efc-42f3-82e3-93e9fca7b49d,7978d94c-a183-4250-80df-e134b92206fe,delivered,2023-04-21 08:49:25,2023-04-21 17:38:25,2023-05-01 17:38:25
3eae745f-7088-45ff-bcee-a20e450b5df3,02579da6-e2ec-4926-aa55-1b633a5b5171,delivered,2022-06-20 00:46:57,2022-06-20 21:49:57,2022-06-30 21:49:57
3c1de216-1894-4efd-a704-27f24dc2e0cf,a26868c4-ea9a-4b75-b11a-44e8c381f5e3,delivered,2023-08-29 12:31:16,2023-08-29 19:38:16,2023-09-13 19:38:16
4c52f6f8-8e0c-44e0-94ca-951b127cbbfb,e1b2b751-e531-472d-a6d2-8386276f5ae6,delivered,2023-06-28 00:37:35,2023-06-28 13:25:35,2023-07-17 13:25:35
042cfabe-e2d7-45e5-9980-7dc79eb8b1f9,6c0a0e4f-38c3-4731-854f-257309a2748f,delivered,2022-02-12 03:32:43,2022-02-12 23:25:43,2022-02-25 23:25:43
b5622ce5-50e2-4219-9176-5f3e60aa814b,49ddc271-578d-44fa-b1ca-ab6fa31b770a,delivered,2022-03-14 17:23:28,2022-03-15 16:03:28,2022-03-20 16:03:28
60b8c307-818a-4163-9a51-2dbf480f98c6,147034d5-93a3-4c8b-bd12-13dc5b43a4ed,delivered,2023-03-05 01:33:26,2023-03-05 07:14:26,2023-03-10 07:14:26
676340b9-270c-45b6-9ddb-edee1b53a081,acd8d7f1-5a48-4460-aa75-1245a80cae12,delivered,2023-08-31 03:21:57,2023-08-31 15:04:57,2023-09-19 15:04:57
7b15508a-1387-4f92-a7ac-ed434828e6c3,8593b49a-c605-49f3-a37f-afc37a2b50f1,delivered,2022-12-17 08:47:07,2022-12-17 14:26:07,2022-12-31 14:26:07
d8735d4c-7d05-4716-914a-fc31fb3d1489,ce777033-3fff-4067-9442-98f0c68ebd49,delivered,2023-06-08 17:10:03,2023-06-08 20:26:03,2023-06-14 20:26:03
c3db23cf-76e2-4496-8e62-754e2ca0cb4c,88554497-96f2-448d-9869-de813d27cae9,delivered,2023-03-14 12:41:44,2023-03-14 15:02:44,2023-03-24 15:02:44
6b9f6866-a2d0-413e-9b5c-57fd9ec117ca,bd020cf8-8919-448e-bbc3-c72c4050d292,delivered,2022-09-18 09:41:29,2022-09-19 06:38:29,2022-09-22 06:38:29
0260c140-db81-46df-bb8b-93796f175871,c8791209-4baf-459d-b197-041dd8c3fe0c,delivered,2022-12-03 07:22:44,2022-12-03 21:12:44,2022-12-21 21:12:44
9d6392b0-dd44-444a-9101-7f6777c2015a,768aa4f3-1987-44b0-a003-577212e2bc7d,delivered,2023-03-10 15:30:37,2023-03-10 21:38:37,2023-03-27 21:38:37
